Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,Suggested Job Role
83,80,61,88,83,87,64,67,77,9,7,0,9,9,31
72,67,68,75,83,73,87,81,67,7,4,6,1,2,14
87,85,75,79,92,72,67,78,64,11,9,0,8,7,1
74,71,85,71,68,74,81,77,93,7,7,5,9,4,26
60,60,87,69,78,75,90,61,79,4,8,1,1,8,14
62,92,70,84,63,93,78,80,63,7,3,1,3,9,30
93,66,70,82,94,93,73,60,66,4,2,5,2,8,18
80,91,93,74,80,86,93,93,91,5,8,1,2,4,15
64,62,85,81,66,93,65,63,78,10,6,0,9,4,12
62,84,83,90,92,87,81,89,83,8,8,4,1,6,27
80,77,91,62,65,64,94,80,91,10,2,2,9,3,1
70,78,90,74,67,93,69,75,85,6,8,4,2,8,21
72,80,82,71,76,91,86,82,61,8,7,1,5,2,18
79,69,87,90,89,79,68,66,71,9,3,3,5,3,16
62,71,83,76,69,65,82,77,82,11,1,1,9,4,1
86,89,73,76,64,91,92,94,65,12,5,6,5,2,12
87,85,60,84,74,70,78,85,89,6,2,6,9,8,20
77,89,83,92,62,82,65,86,77,12,6,0,2,4,16
71,67,91,61,71,68,87,72,74,12,5,3,5,5,26
63,86,90,79,72,81,61,87,91,4,8,0,6,8,23
94,63,80,72,89,78,90,73,89,7,2,3,2,9,4
83,63,90,94,64,90,86,94,82,11,1,2,9,4,30
81,83,79,79,73,63,79,70,61,4,7,2,5,8,11
71,87,78,84,60,73,81,67,80,6,2,3,9,9,7
60,86,86,71,89,69,80,61,81,11,9,2,6,8,4
74,85,62,94,64,61,91,84,66,10,1,4,2,1,33
79,77,83,78,84,71,77,86,76,9,7,6,2,7,20
61,60,94,80,63,74,77,84,83,5,4,3,6,7,25
90,74,76,77,67,94,69,61,87,5,7,1,5,8,25
70,62,64,74,77,87,70,66,61,4,8,4,3,8,32
61,77,77,88,63,84,85,62,88,4,1,6,8,7,14
68,68,82,73,64,72,91,78,62,5,7,6,1,3,27
87,67,71,60,83,67,91,66,67,4,4,6,2,2,20
80,82,83,76,80,64,74,82,78,6,8,3,2,2,18
76,62,76,85,88,77,68,61,73,12,7,4,6,3,12
68,91,84,78,65,61,68,79,61,6,3,1,2,2,6
83,84,79,77,80,81,63,83,80,11,4,4,1,9,11
66,60,72,78,91,72,72,61,88,8,1,5,8,5,13
83,82,61,77,79,72,60,92,67,8,9,3,3,1,19
94,86,69,69,81,91,78,66,78,9,5,4,6,7,23
83,78,81,71,79,87,83,71,76,4,6,4,4,2,32
80,85,82,93,69,71,64,86,70,4,4,3,1,7,8
75,67,92,62,62,61,71,72,74,11,4,3,4,8,2
64,61,90,60,94,85,83,83,94,5,7,2,3,3,4
79,61,64,86,80,77,72,78,65,6,6,5,9,2,12
65,68,79,68,62,89,64,66,60,11,7,6,3,7,29
91,78,67,86,65,84,88,77,73,11,8,4,3,9,21
65,78,60,90,93,66,68,62,85,5,2,4,5,1,27
82,84,89,80,85,61,81,68,60,6,4,5,8,6,3
91,80,81,91,70,71,94,74,89,7,2,0,4,9,1
71,90,67,65,73,85,88,63,75,10,2,2,1,9,11
82,85,60,76,63,72,90,60,83,4,9,0,3,5,4
63,78,67,61,93,89,73,93,64,10,8,6,1,2,23
61,77,85,67,62,62,85,91,73,6,5,3,1,5,9
83,62,61,91,71,69,73,72,80,10,7,5,8,1,6
89,88,85,92,83,89,77,80,73,7,8,5,5,1,31
64,87,64,60,80,71,76,90,74,4,8,1,8,6,0
70,85,82,94,75,64,77,73,76,9,2,5,5,3,20
83,66,93,78,79,62,61,63,69,9,2,5,2,1,31
76,77,73,60,62,62,80,76,80,5,3,5,5,4,22
77,92,83,80,89,67,69,73,82,12,9,3,2,8,26
77,77,63,81,66,79,93,68,70,10,4,2,4,1,33
94,72,94,84,80,71,87,93,70,9,8,2,9,9,16
90,74,86,74,74,81,89,68,76,7,5,6,8,2,16
73,64,94,69,71,80,78,86,67,11,3,1,4,5,26
86,86,85,63,72,73,90,90,89,8,9,4,8,7,13
88,68,78,60,82,83,63,82,73,10,5,2,5,8,24
90,90,90,94,75,81,89,90,79,4,8,2,9,9,21
60,61,60,62,64,85,69,62,82,5,6,2,1,8,16
87,74,75,76,90,83,70,80,71,6,6,6,5,1,13
87,75,66,76,60,87,63,82,88,7,5,3,1,9,22
78,89,77,86,79,82,60,88,69,11,5,0,1,2,16
73,82,82,61,65,91,93,80,84,9,1,6,8,8,24
75,71,69,84,90,83,67,62,74,11,8,5,8,3,15
87,88,65,76,78,71,90,66,83,11,9,5,3,6,14
75,70,65,76,66,85,67,90,68,5,5,4,7,5,6
75,90,72,71,80,71,94,85,89,6,9,4,7,1,24
78,65,75,88,63,94,76,75,66,9,1,1,5,5,0
60,86,89,62,82,63,64,93,83,6,7,6,1,8,22
92,92,71,93,70,87,63,80,92,4,8,4,5,7,18
77,88,69,67,86,87,60,89,83,5,8,1,3,8,1
93,84,67,89,62,63,79,73,66,10,8,5,6,7,3
90,91,60,65,66,71,70,71,78,12,8,3,4,9,12
83,78,64,89,74,61,61,74,84,11,7,4,2,2,28
64,77,78,83,72,84,74,76,61,5,5,3,1,2,5
61,91,74,67,86,72,77,72,74,12,8,3,7,3,15
64,60,61,64,67,77,65,86,81,9,6,0,2,3,0
82,91,94,91,87,70,77,71,88,8,7,3,4,1,27
93,92,61,76,85,85,94,61,94,8,9,4,1,1,21
83,83,91,65,70,67,82,93,64,9,1,1,1,2,3
90,74,83,93,74,80,83,93,64,11,6,6,2,3,25
90,79,75,73,66,80,74,85,83,8,5,4,8,1,13
93,93,82,73,70,65,60,80,67,5,5,2,3,3,9
85,83,68,90,64,79,93,61,94,11,4,0,5,3,4
67,82,71,73,63,77,86,74,67,11,2,2,4,4,24
65,76,60,79,61,77,94,87,92,6,1,3,2,4,8
87,88,78,73,77,80,91,91,70,9,2,1,5,9,23
77,83,80,94,76,78,76,64,94,6,6,6,3,8,26
77,83,86,78,77,64,93,86,68,9,6,4,8,9,22
91,86,71,93,81,81,76,80,76,7,2,1,7,2,17
81,88,64,91,88,93,78,67,77,5,3,4,8,8,2
82,64,94,79,92,93,79,65,70,7,9,1,3,6,14
74,69,68,86,61,87,91,78,75,10,9,5,2,4,23
77,67,64,77,94,87,73,81,77,6,7,4,3,7,22
85,71,84,67,60,71,81,72,83,11,9,2,9,1,13
79,61,85,87,68,75,65,89,81,11,6,6,7,7,4
67,89,90,68,73,79,68,71,92,10,5,4,5,6,3
68,66,94,89,62,88,81,84,74,7,2,6,1,6,23
63,64,94,85,66,60,64,64,81,8,7,6,8,1,8
92,74,75,72,72,81,87,78,90,4,2,5,4,5,27
77,90,92,69,88,90,94,71,88,7,6,5,7,3,17
75,76,69,63,62,68,68,76,79,11,5,6,8,4,16
82,74,76,87,79,67,79,93,79,7,6,4,8,3,4
79,69,83,86,70,74,73,83,82,4,6,3,2,2,3
83,76,86,73,83,92,60,94,80,6,8,0,5,2,8
91,62,82,74,70,78,91,74,69,9,2,2,4,4,19
79,70,88,61,83,63,80,84,70,11,5,2,6,3,27
90,82,86,89,76,92,66,86,78,7,5,0,5,8,12
84,63,94,88,62,62,85,78,65,8,7,4,9,7,4
79,80,71,85,89,86,75,60,68,8,1,6,9,8,30
91,81,71,75,91,91,63,82,73,10,9,2,5,8,21
63,69,75,86,73,88,88,94,62,7,7,5,4,9,15
73,69,84,65,63,92,76,65,87,7,7,5,8,3,28
93,74,74,62,75,68,89,87,89,7,2,1,8,8,24
70,86,66,74,61,86,66,81,92,8,5,6,6,6,4
66,86,92,90,77,80,66,67,83,8,5,3,3,7,16
88,63,64,92,85,93,66,61,71,4,1,3,7,5,19
71,89,60,89,71,88,93,83,79,4,6,4,8,6,26
82,93,76,94,85,62,89,78,87,5,5,0,6,6,1
93,67,75,71,79,64,64,93,91,6,6,0,1,9,17
81,78,72,80,68,62,83,86,78,4,1,2,2,8,12
60,65,93,70,76,76,74,81,67,5,2,4,9,9,9
72,68,80,64,84,82,61,65,78,12,7,3,8,4,4
67,75,84,90,66,81,63,60,88,9,9,3,2,9,6
86,77,88,77,62,68,72,70,89,5,3,2,7,6,2
84,78,81,70,73,89,78,80,71,6,9,2,5,3,31
86,63,75,67,69,80,85,92,75,4,4,0,7,5,9
65,77,65,85,75,71,77,62,62,11,1,6,5,4,20
80,71,93,76,74,89,70,63,89,9,9,6,4,9,12
69,80,66,76,68,87,60,94,87,8,2,6,2,7,15
77,85,72,85,74,81,75,79,75,12,5,6,4,8,3
66,79,73,80,84,88,63,79,81,12,2,5,4,4,16
73,63,93,94,73,91,69,61,83,6,7,2,2,1,11
62,79,62,92,84,75,86,93,92,5,5,6,6,2,28
82,73,84,69,73,65,78,94,78,7,3,4,8,2,19
93,70,62,87,63,80,61,67,65,8,9,2,9,8,18
78,78,87,90,75,64,63,65,68,8,6,5,2,6,7
73,69,85,71,94,86,77,71,63,7,6,1,3,1,29
77,88,66,71,93,83,60,69,84,8,1,0,3,7,11
79,79,81,66,91,91,89,66,78,11,6,6,3,2,14
94,84,61,89,77,73,87,94,85,9,6,4,8,4,3
83,78,67,66,72,61,64,79,85,7,4,6,1,2,31
67,80,84,90,82,77,83,64,87,12,4,6,6,7,31
83,88,64,81,71,94,92,60,74,5,8,3,9,7,9
84,64,81,69,72,70,89,81,78,12,8,5,2,5,1
81,86,77,84,73,63,87,73,65,8,9,6,2,2,26
77,92,90,66,77,91,60,65,72,10,6,4,5,7,27
68,89,90,74,84,85,83,90,90,7,4,2,5,8,18
60,68,60,87,61,71,90,90,69,9,7,2,1,4,30
89,62,72,86,94,74,89,92,92,12,7,5,1,6,1
61,72,66,68,92,90,78,65,62,7,7,0,6,6,28
84,68,83,80,81,88,85,90,83,8,1,4,3,4,22
60,90,70,73,91,64,75,93,80,6,1,1,2,4,18
66,89,84,63,74,87,82,67,88,7,1,2,9,5,12
78,60,76,88,93,62,68,63,92,11,1,0,2,6,17
73,74,82,77,64,89,70,74,86,11,4,6,4,8,25
77,85,81,71,69,80,78,66,63,11,7,5,2,5,21
71,85,75,81,92,88,74,64,71,4,9,1,6,2,3
72,76,88,60,78,72,78,85,72,8,7,3,7,7,15
68,87,77,90,79,63,69,82,71,6,2,6,1,7,24
76,89,64,87,85,76,72,82,70,4,7,3,8,1,2
61,83,83,85,67,87,92,91,90,6,7,5,2,8,0
78,82,86,87,72,77,64,76,66,8,5,3,8,9,12
77,84,65,71,81,68,94,68,81,11,3,0,6,4,14
68,92,68,73,77,91,65,92,85,5,8,1,1,5,0
87,63,78,62,60,81,89,76,84,4,6,6,7,8,28
81,94,92,60,88,61,67,92,74,6,6,2,2,8,16
73,75,64,91,70,63,64,85,80,11,3,2,3,1,8
62,88,64,85,85,65,69,62,90,4,8,4,3,8,33
60,72,92,72,84,72,77,62,74,12,6,5,9,1,21
60,90,92,89,87,92,60,78,83,4,2,1,7,5,7
85,89,94,62,82,60,93,77,80,6,4,1,2,3,27
75,88,81,86,69,85,69,74,89,9,6,1,2,4,29
80,87,60,81,90,91,77,94,64,9,3,0,1,4,3
60,71,67,86,77,91,75,92,89,10,1,4,6,5,9
70,81,77,93,69,82,93,92,76,5,8,3,2,1,20
67,64,75,87,74,84,86,71,64,11,4,6,5,9,28
70,67,90,65,66,78,85,63,76,9,7,3,1,3,32
90,72,78,90,60,69,91,76,81,11,5,6,5,5,14
63,94,84,75,70,74,81,80,80,12,3,3,2,1,6
88,65,63,69,82,83,73,67,74,10,3,0,5,3,20
77,94,86,77,74,74,88,93,74,5,3,5,4,3,14
88,85,61,80,69,73,83,64,89,9,3,6,2,3,28
69,85,75,73,81,66,64,81,94,10,3,4,9,7,17
88,89,91,94,82,81,68,60,65,10,1,5,6,8,29
71,74,87,80,85,76,94,84,78,12,6,4,1,4,7
89,90,62,70,64,67,68,86,89,11,9,6,3,5,28
79,76,74,60,88,79,94,86,64,10,8,2,7,3,23
71,63,67,72,65,83,85,66,76,5,3,6,5,7,28
71,93,62,81,81,88,79,87,78,11,7,6,3,1,33
77,71,88,66,93,75,70,76,61,7,3,3,3,6,18
60,63,78,63,68,85,93,77,60,5,8,6,3,5,6
92,81,78,60,84,74,74,78,93,9,6,4,6,6,15
78,67,78,93,64,65,88,89,79,12,3,6,7,2,32
68,60,85,89,70,78,85,89,89,4,5,3,8,1,24
77,66,92,84,63,82,68,68,83,9,1,0,9,6,19
81,63,69,91,66,60,67,67,71,9,7,1,4,4,17
81,81,75,86,80,81,84,76,84,7,5,4,9,3,22
62,81,61,89,61,71,84,74,90,4,8,2,3,8,21
93,79,91,92,87,93,86,65,77,6,7,4,7,3,16
62,65,85,73,61,77,67,64,65,5,7,1,1,7,16
87,70,80,65,78,93,85,62,83,4,8,5,8,7,9
94,85,89,71,80,84,83,89,74,12,4,5,2,6,18
75,94,65,62,73,89,79,79,79,12,2,6,6,6,8
79,66,68,82,76,92,82,75,68,9,8,5,6,3,14
76,67,69,83,90,71,70,84,62,12,7,5,6,6,24
64,64,92,62,68,72,66,77,60,5,1,0,6,1,25
64,74,79,79,91,85,71,92,88,9,4,4,6,1,1
70,66,80,75,79,85,75,63,78,6,4,2,5,6,29
79,85,72,60,66,78,70,82,92,5,3,3,3,1,26
76,60,84,84,91,71,93,63,85,6,5,5,5,3,25
84,81,78,93,79,91,94,60,90,8,9,5,7,2,18
88,66,65,73,77,82,70,72,67,12,1,3,9,3,8
60,69,64,73,63,92,90,82,62,10,3,6,9,9,26
87,66,66,62,78,77,64,62,72,5,4,0,6,6,16
62,78,69,93,90,70,88,65,63,12,5,6,3,9,18
61,80,94,91,67,91,66,90,80,6,8,2,8,1,7
62,81,79,82,85,74,84,71,87,11,4,0,4,5,16
85,63,71,78,80,93,76,60,90,11,7,5,9,3,21
81,89,82,90,88,86,84,62,90,11,1,5,9,1,11
72,78,89,90,75,70,88,69,71,5,9,5,9,8,2
90,63,89,93,60,84,74,72,83,11,8,6,6,7,27
89,82,75,62,86,75,76,64,74,12,2,3,7,8,18
86,62,88,70,70,82,65,93,79,6,2,2,3,4,2
75,94,88,61,86,81,77,80,69,9,2,6,9,2,12
79,64,94,81,88,90,81,83,66,5,4,3,1,6,11
66,63,81,69,62,64,69,90,65,10,8,0,4,2,3
76,78,77,93,68,75,66,79,83,12,7,3,1,8,31
91,69,69,93,82,73,79,81,86,7,5,2,3,4,21
75,84,76,61,61,71,77,93,73,10,1,4,2,1,26
80,74,93,80,93,67,64,69,80,5,8,0,3,3,8
69,63,87,89,82,73,67,65,87,6,1,2,5,2,13
77,62,91,82,76,70,82,85,66,11,1,2,4,6,28
61,86,93,69,79,83,67,69,80,9,8,5,9,9,6
74,62,60,83,66,73,87,68,73,6,3,0,4,4,16
86,65,93,66,82,90,64,83,69,12,3,2,4,4,4
68,91,81,86,80,61,80,93,66,5,9,0,7,1,15
86,93,64,77,77,78,84,70,64,9,6,4,9,6,31
61,87,81,90,74,78,62,80,83,12,9,4,9,9,3
63,88,89,71,63,85,94,77,86,5,2,6,6,2,15
61,72,77,69,91,75,81,69,81,8,3,1,5,4,31
69,65,87,65,82,62,70,90,64,10,2,6,9,3,17
71,81,84,94,68,90,76,63,61,8,7,0,8,1,15
79,76,80,83,91,68,91,66,92,6,3,6,7,1,15
88,89,91,76,78,85,72,69,79,4,8,1,5,2,11
70,85,79,63,71,80,61,69,63,11,4,1,4,3,32
86,92,90,76,71,66,78,86,86,4,2,1,2,4,20
86,74,93,79,70,93,92,60,92,9,2,1,5,7,30
65,69,93,84,82,70,67,86,65,8,7,4,2,8,0
71,85,74,80,88,86,90,70,63,4,2,5,5,8,5
62,70,63,69,91,76,65,85,84,9,4,0,9,3,30
78,93,92,80,61,94,73,65,80,9,2,0,6,5,7
86,78,79,67,93,86,77,74,78,8,2,3,5,5,12
85,71,80,69,71,84,75,84,64,4,4,1,4,8,3
63,84,80,94,76,93,76,60,94,8,2,2,2,1,0
60,60,93,60,69,93,80,93,93,10,6,2,8,1,0
67,80,86,79,91,71,68,71,84,4,8,3,2,8,3
87,86,65,85,79,71,66,62,67,10,5,5,1,5,18
94,75,89,89,80,93,76,83,84,12,5,2,2,9,5
75,86,88,68,94,93,70,92,76,11,5,0,6,8,30
70,88,82,71,61,68,77,70,61,10,5,3,1,8,8
91,73,69,62,76,76,86,61,71,12,7,5,1,1,16
61,60,62,68,71,71,87,75,91,9,8,5,2,8,21
66,87,73,91,66,72,63,89,90,10,1,1,8,7,8
86,74,66,84,91,89,79,74,93,9,2,2,4,5,20
76,61,91,73,71,84,91,92,76,11,9,0,5,6,26
66,70,80,71,66,74,68,92,64,7,5,5,1,5,8
62,72,75,80,87,79,68,78,84,12,4,1,5,5,1
92,85,81,79,70,78,79,75,81,6,2,0,6,2,23
81,83,71,92,70,72,77,79,72,10,2,6,2,5,19
71,85,86,60,85,67,77,90,81,11,2,3,9,1,2
86,80,66,84,85,64,72,73,65,10,1,0,3,5,25
83,91,69,84,67,71,67,78,80,6,2,3,8,9,21
91,89,87,75,61,86,87,83,80,12,3,0,8,9,5
68,72,68,91,71,73,94,89,90,6,6,1,4,9,12
77,72,69,81,88,65,87,61,94,4,1,6,5,3,19
75,90,92,70,85,88,86,64,69,9,7,3,1,9,32
90,81,67,70,88,65,64,89,69,10,7,2,7,9,28
77,70,86,74,88,78,69,71,69,10,8,1,8,3,9
87,79,78,65,70,81,69,71,60,7,4,1,6,1,8
70,85,63,80,79,84,75,74,73,9,4,2,6,5,10
60,67,83,81,65,71,74,79,78,5,2,3,7,3,24
72,60,84,89,81,67,80,62,91,9,9,0,5,3,7
92,69,80,75,93,75,84,71,81,7,4,4,7,2,30
76,80,68,68,91,83,77,63,66,4,4,2,9,6,22
70,72,70,84,94,86,62,63,69,12,3,0,3,5,24
74,79,63,84,88,64,88,68,80,4,8,2,8,5,8
78,63,84,93,92,88,87,63,67,5,8,4,1,8,10
68,60,88,87,92,92,65,80,92,6,2,0,8,6,3
94,86,60,73,76,73,93,62,87,7,8,2,6,8,32
84,72,64,79,73,79,73,77,67,7,8,1,6,7,23
79,92,83,81,66,75,92,75,61,5,8,3,4,9,15
63,79,68,72,93,76,81,77,89,9,1,0,5,6,9
88,81,92,66,73,61,92,69,79,11,3,4,9,5,6
63,80,75,69,77,94,92,73,65,6,9,6,5,4,18
72,74,60,66,92,63,76,72,91,11,9,2,6,9,0
68,67,64,90,88,63,79,93,82,6,5,0,9,2,31
87,78,72,79,74,66,77,85,93,7,1,5,7,9,23
91,72,66,66,82,93,65,69,79,4,6,5,3,8,1
81,65,78,60,90,60,69,63,89,4,5,1,3,5,18
81,85,60,75,73,65,80,71,71,9,9,0,2,5,15
85,93,61,68,66,76,89,62,92,4,9,2,4,2,31
60,88,88,82,61,90,60,61,94,11,7,1,5,5,6
63,87,79,62,90,91,92,76,83,6,4,5,7,3,4
75,60,83,80,93,64,79,92,71,9,3,0,6,2,9
94,78,94,85,79,75,84,76,93,10,6,2,1,2,7
88,60,77,84,61,76,88,87,63,11,1,5,4,1,15
76,91,63,91,83,68,72,86,63,10,7,5,3,3,7
93,63,60,68,86,63,65,92,79,7,6,4,8,8,24
92,60,79,84,87,77,88,65,79,9,3,4,4,5,30
88,72,68,73,60,75,70,84,67,5,9,5,5,1,15
68,68,67,94,66,82,79,78,62,7,1,1,1,2,30
66,68,88,80,86,83,87,87,87,9,4,3,5,2,0
62,71,91,69,74,60,85,82,62,12,7,5,5,1,7
80,72,74,68,81,92,93,60,63,8,9,5,3,4,5
67,86,93,77,82,88,75,65,65,7,7,6,7,4,28
69,72,85,61,92,89,78,78,80,12,5,3,2,6,6
69,81,80,82,70,67,62,93,89,11,8,2,7,2,22
60,81,86,77,82,70,63,80,69,5,1,4,1,8,32
83,62,62,73,89,85,92,68,89,12,5,4,3,3,31
85,66,63,60,78,86,74,86,80,4,1,1,6,8,1
94,60,61,60,73,85,78,79,89,8,2,3,2,9,7
61,80,63,80,73,91,92,73,78,11,7,4,7,9,23
82,92,63,70,91,87,68,81,79,11,3,0,5,8,32
94,63,61,78,84,77,82,83,90,8,9,4,9,4,16
73,64,90,66,77,86,83,87,85,4,8,6,9,7,18
93,62,84,66,69,76,71,67,80,5,8,2,1,4,10
81,69,89,64,77,89,72,77,76,5,7,5,8,9,21
79,76,66,88,93,69,69,90,63,9,4,5,9,6,5
76,91,63,84,91,71,85,87,72,11,7,0,3,9,23
81,93,89,73,85,72,73,78,89,6,8,2,4,4,10
71,75,79,74,88,79,79,94,70,5,4,2,2,2,25
80,80,81,82,77,67,82,80,65,11,7,3,1,9,14
86,61,61,82,75,76,87,65,85,4,7,1,9,4,25
78,78,90,79,79,66,65,85,83,4,7,0,8,2,32
75,66,69,68,79,94,76,82,86,5,7,1,8,4,28
86,70,60,84,70,66,63,71,90,12,5,2,5,5,6
66,87,81,65,62,61,67,85,83,9,4,0,1,2,20
83,93,70,75,84,68,84,87,63,12,1,1,6,7,8
83,66,72,63,93,84,91,79,88,12,7,3,6,5,33
64,65,83,75,72,92,81,88,75,11,6,2,6,3,14
92,83,74,67,64,87,68,90,77,5,6,4,7,5,6
93,64,88,78,86,61,80,64,73,10,7,6,7,2,21
69,93,85,94,87,67,65,81,86,10,2,6,2,8,21
66,88,66,86,85,82,67,87,93,10,4,0,9,3,0
71,79,74,82,79,72,84,70,92,5,4,0,3,5,11
69,75,94,60,77,70,75,68,92,9,1,6,1,8,23
74,73,70,83,64,82,89,89,66,12,8,4,3,7,20
83,78,61,62,61,90,76,65,77,12,1,4,7,6,15
82,74,82,66,82,71,70,77,89,5,1,3,5,2,22
90,70,87,74,93,79,92,79,64,8,5,6,7,5,17
71,63,64,81,75,76,79,60,89,10,6,4,2,7,12
61,81,73,61,73,82,85,94,79,11,6,5,6,8,7
92,69,61,82,71,65,93,90,63,8,5,2,4,6,10
85,64,62,74,61,77,79,80,86,4,5,2,9,2,31
81,66,93,87,84,93,90,85,92,5,6,0,3,3,31
74,81,91,80,68,68,86,63,66,10,6,1,8,7,17
75,70,72,84,70,80,94,84,85,6,8,0,7,4,10
70,76,77,87,64,67,64,94,69,7,6,0,9,3,28
63,83,78,64,64,60,64,85,89,7,4,3,2,1,30
66,77,85,84,65,74,72,79,71,11,8,6,6,9,12
87,76,81,87,70,78,79,66,94,11,2,0,6,4,18
83,72,77,80,62,91,83,68,81,4,4,3,5,8,23
94,87,73,84,65,61,84,83,76,10,6,2,7,4,22
60,67,60,89,72,80,83,87,85,8,7,2,1,7,29
68,69,81,77,63,88,85,86,92,4,5,2,8,6,7
78,72,90,90,64,62,61,80,83,5,6,1,2,6,9
90,85,92,72,85,65,68,70,85,4,4,2,6,2,31
89,72,61,88,60,92,90,87,61,7,5,3,5,9,22
90,89,93,91,61,86,69,94,93,12,2,2,9,9,12
73,62,86,73,88,76,68,71,80,6,1,0,9,4,16
89,91,85,61,76,65,66,92,61,7,9,0,2,1,16
63,79,63,69,64,79,87,93,61,5,6,4,1,9,29
77,76,90,62,84,82,71,79,92,9,7,5,6,6,2
77,61,69,63,71,87,62,68,83,11,8,2,6,4,30
63,60,69,73,76,73,64,72,82,5,8,5,2,9,18
91,87,90,81,86,72,65,60,87,4,7,4,8,1,12
64,89,82,74,85,61,70,79,85,4,8,2,1,8,23
79,88,83,78,86,84,67,85,79,7,9,0,1,9,16
91,84,68,66,61,67,61,79,86,6,6,2,6,3,29
90,61,85,84,71,65,82,65,69,7,9,6,9,1,15
81,61,64,79,83,81,74,90,62,8,4,6,9,8,33
93,82,82,91,73,91,83,81,72,7,2,4,9,1,27
76,80,91,74,82,63,64,81,73,11,2,0,2,1,16
81,74,87,61,90,83,61,70,68,6,7,3,6,7,6
69,67,81,84,85,86,84,90,66,6,2,2,2,1,28
76,66,63,65,68,90,82,91,85,7,8,6,7,6,27
74,90,83,68,77,73,76,72,88,6,5,0,6,5,13
86,70,73,75,90,76,75,85,70,9,5,1,9,8,30
67,79,72,78,72,62,83,66,85,11,2,5,2,6,11
70,90,72,83,62,68,74,84,84,11,8,0,1,2,32
75,88,68,66,77,79,65,79,70,10,6,4,5,1,16
74,94,75,66,71,64,85,68,80,7,2,1,6,4,5
74,69,73,77,63,91,83,67,77,8,5,5,6,8,16
66,93,77,85,60,89,71,64,88,12,3,6,8,9,5
74,88,83,64,64,70,61,93,94,7,3,5,9,2,9
66,85,94,74,80,69,65,74,61,10,2,1,2,7,15
93,80,81,64,85,77,94,92,83,8,8,4,8,7,28
67,83,65,91,74,61,68,72,81,8,2,1,4,3,14
75,88,65,69,73,74,84,85,80,8,4,0,4,3,22
74,89,68,77,64,86,77,75,80,12,6,4,5,4,7
73,69,93,61,72,66,60,94,60,9,3,1,3,7,28
83,90,64,73,66,85,91,79,67,9,4,3,2,9,22
79,64,71,77,85,67,83,78,73,12,1,2,9,6,9
90,84,93,70,80,79,64,61,75,12,1,1,8,3,20
70,79,60,64,71,86,62,82,75,4,8,0,4,4,20
86,91,92,63,64,69,81,88,88,4,1,5,1,8,0
60,73,71,63,93,62,79,76,63,9,4,1,3,6,3
66,69,90,94,82,63,63,76,67,12,9,4,3,7,1
67,89,62,86,80,86,68,72,69,6,7,4,2,8,6
91,73,94,71,72,88,60,85,77,4,9,0,6,6,11
94,84,91,60,84,76,90,65,73,4,6,5,7,3,13
84,87,84,94,80,93,85,81,94,6,9,5,2,4,26
68,76,80,64,84,65,90,71,61,8,1,5,9,8,16
77,94,82,72,87,83,67,66,91,5,5,1,8,8,5
91,73,60,69,60,68,90,63,85,12,2,6,7,9,11
79,72,63,84,91,78,87,84,69,5,9,6,7,4,1
94,67,84,62,94,70,91,88,75,10,5,4,7,7,20
79,85,63,63,78,93,72,79,65,11,8,1,2,6,23
94,75,63,75,83,73,83,87,63,6,1,0,3,8,33
60,83,60,83,91,63,69,89,92,4,8,6,6,9,10
84,78,79,76,80,87,71,93,65,4,8,3,8,7,4
69,74,83,74,82,83,83,71,69,9,5,5,9,2,5
69,71,67,61,84,76,60,76,79,10,4,0,5,3,24
91,80,65,61,60,84,75,78,82,6,8,6,7,4,13
71,71,72,85,84,75,81,78,69,7,7,4,2,1,16
92,87,73,79,86,71,85,88,78,7,5,6,8,8,16
91,66,84,63,68,81,87,72,62,12,5,5,6,2,16
80,70,76,93,79,68,94,90,83,8,3,0,6,3,33
69,92,60,72,66,89,93,94,72,11,4,0,2,8,7
86,68,80,93,90,84,94,67,73,4,9,3,2,8,10
84,79,61,61,60,71,71,76,74,5,3,4,1,7,2
83,92,92,87,92,82,74,91,93,9,1,6,8,7,6
68,61,80,71,81,86,87,91,64,12,2,6,7,7,15
78,86,62,63,78,76,72,89,79,7,2,5,8,3,18
61,89,91,94,94,93,61,61,90,4,5,2,9,5,15
86,62,93,61,60,83,69,72,74,7,1,4,5,6,18
85,88,87,88,88,71,65,64,68,5,2,6,7,3,16
78,94,92,94,85,86,64,81,67,9,3,4,1,9,25
63,78,84,79,60,80,94,93,93,6,2,2,8,3,0
88,88,74,66,93,91,88,72,94,12,1,4,1,6,19
64,60,87,84,75,84,71,80,80,5,2,3,3,3,19
87,85,81,93,63,81,93,68,68,5,6,6,6,2,32
62,94,64,71,87,60,73,94,85,12,1,2,2,7,20
78,69,92,78,65,76,74,63,66,7,2,1,9,8,15
82,69,90,76,72,76,65,83,78,4,9,0,9,1,22
62,74,62,66,78,63,75,82,83,7,2,5,4,6,16
70,74,83,73,60,73,72,73,69,4,4,2,3,6,24
81,61,63,89,64,91,82,91,67,10,9,3,6,5,5
90,94,62,77,63,68,87,78,79,7,4,2,9,2,17
61,87,75,84,63,77,66,81,89,12,5,6,8,2,26
